Calling Number,Called Number,Date ,Start Time,End Time,Duration,Cell1,Cell2,Cell Type,IMEI,IMSI Number,SMSC,Roam Nw
916100080762,916128536844,01-Jan-21,01:24:00,01:26:22,00:02:22,309-32-4093-45,309-32-4093-45,OUT,517154891133325,84907700124996900,,AIRTEL UP
916100080762,918847419850,01-Jan-21,01:56:34,02:02:12,00:05:38,309-32-4093-45,309-32-4093-45,OUT,517154891133325,84907700124996900,,AIRTEL UP
918847419850,916100080762,01-Jan-21,02:02:55,02:05:12,00:02:17,309-32-4093-45,309-32-4093-45,IN,517154891133325,84907700124996900,,AIRTEL UP
916128536844,916100080762,01-Jan-21,02:10:11,02:15:12,00:05:01,309-32-4093-45,309-32-4093-45,IN,517154891133325,84907700124996900,,AIRTEL UP
916128536844,916100080762,01-Jan-21,02:59:13,03:14:32,00:15:19,309-32-4093-45,309-32-4093-45,IN,517154891133325,84907700124996900,,AIRTEL UP
916100080762,929734777392,01-Jan-21,08:13:23,08:33:13,00:19:50,309-32-4093-45,309-32-4093-46,OUT,517154891133325,84907700124996900,,AIRTEL UP
929734777392,916100080762,01-Jan-21,09:42:01,10:02:19,00:20:18,309-32-4093-46,410-23-2415-12,IN,517154891133325,84907700124996900,,AIRTEL UP
917982345234,916100080762,01-Jan-21,12:11:50,12:56:20,00:44:30,410-23-2415-12,410-23-2415-12,IN,517154891133325,84907700124996900,,AIRTEL UP
918847419850,916100080762,01-Jan-21,14:25:12,14:29:12,00:04:00,309-32-4093-46,309-32-4093-46,IN,517154891133325,84907700124996900,,AIRTEL UP
916100080762,916128536844,01-Jan-21,14:39:23,14:45:22,00:05:59,309-32-4093-46,309-32-4093-46,OUT,517154891133325,84907700124996900,,AIRTEL UP
929734777392,916100080762,01-Jan-21,19:27:43,19:41:29,00:13:46,309-32-4093-45,309-32-4093-45,IN,517154891133325,84907700124996900,,AIRTEL UP
929734777392,916100080762,02-Jan-21,00:00:12,00:27:06,00:26:54,309-32-4093-45,309-32-4093-45,IN,517154891133325,84907700124996900,,AIRTEL UP
916128536844,916100080762,02-Jan-21,01:16:04,01:20:28,00:04:24,309-32-4093-45,309-32-4093-45,IN,517154891133325,84907700124996900,,AIRTEL UP
916100080762,916128536844,02-Jan-21,02:52:36,02:59:36,00:07:00,309-32-4093-45,309-32-4093-45,OUT,517154891133325,84907700124996900,,AIRTEL UP
916100080762,916128536844,02-Jan-21,03:14:21,03:15:51,00:01:30,309-32-4093-45,309-32-4093-45,OUT,517154891133325,84907700124996900,,AIRTEL UP
916100080762,918847419850,02-Jan-21,04:33:02,04:38:22,00:05:20,309-32-4093-45,309-32-4093-45,OUT,517154891133325,84907700124996900,,AIRTEL UP
916100080762,918847419850,02-Jan-21,11:29:00,12:01:59,00:32:59,309-32-4093-45,309-32-4093-46,OUT,517154891133325,84907700124996900,,AIRTEL UP
929734777392,916100080762,02-Jan-21,13:13:24,13:19:21,00:05:57,309-32-4093-46,410-23-2415-12,IN,517154891133325,84907700124996900,,AIRTEL UP
916100080762,917982345234,02-Jan-21,13:25:12,13:28:02,00:02:50,410-23-2415-12,410-23-2415-12,OUT,442000000000000,84940601579210400,,AIRTEL UP
916100080762,929734777392,02-Jan-21,16:21:10,16:32:23,00:11:13,309-32-4093-46,309-32-4093-46,OUT,517154891133325,84907700124996900,,AIRTEL UP
919872356521,916100080762,02-Jan-21,16:53:11,17:01:56,00:08:45,309-32-4093-46,410-23-2415-12,IN,517154891133325,84907700124996900,,AIRTEL UP
916100080762,917982345234,02-Jan-21,16:56:04,17:00:28,00:04:24,410-23-2415-12,410-23-2415-12,OUT,517154891133325,84940601579210400,,AIRTEL UP
918847419850,916100080762,02-Jan-21,18:18:12,18:28:02,00:09:50,309-32-4093-45,309-32-4093-45,IN,517154891133325,84907700124996900,,AIRTEL UP
916100080762,929734777392,02-Jan-21,19:21:27,19:26:04,00:04:37,309-32-4093-45,309-32-4093-45,OUT,517154891133325,84907700124996900,,AIRTEL UP
