Calling Number,Called Number,Date ,Start Time,End Time,Duration,Cell1,Cell2,Cell Type,IMEI,IMSI Number,SMSC,Roam Nw
9734777392,7982345234,1-Jan-2021,6:40:00,6:40:00,0:00:00,303-32-4123-45,-,SMT,4.42E+14,8.89E+13,9.83E+09,AIRTEL UP
7343938444,7982345234,1-Jan-2021,8:33:23,8:45:12,0:11:49,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
8983432344,7982345234,1-Jan-2021,12:11:50,12:56:20,0:44:30,410-23-2415-12,410-23-2415-12,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9872356521,1-Jan-2021,16:56:04,17:14:58,0:18:54,410-23-2415-12,410-23-1414-41,OUT,4.42E+14,8.89E+13,,AIRTEL UP
9734777392,7982345234,1-Jan-2021,20:13:22,20:40:32,0:27:10,410-23-1414-41,410-23-1414-41,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,7343938444,1-Jan-2021,21:59:00,22:11:12,0:12:12,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9734777392,2-Jan-2021,7:33:13,7:33:13,0:00:00,,-,SMO,4.42E+14,8.89E+13,9.83E+09,AIRTEL UP
7982345234,9734777392,2-Jan-2021,9:42:01,10:02:19,0:20:18,303-41-3424-234,410-23-2415-12,OUT,4.42E+14,8.89E+13,,AIRTEL UP
8983432344,7982345234,2-Jan-2021,13:25:12,13:28:02,0:02:50,410-23-2415-12,410-23-2415-12,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9734777392,2-Jan-2021,15:39:23,15:49:12,0:09:49,410-23-2415-12,410-23-2415-12,OUT,4.42E+14,8.89E+13,,AIRTEL UP
9823476434,7982345234,2-Jan-2021,16:07:23,16:10:09,0:02:46,410-23-2415-12,410-23-2415-12,IN,4.42E+14,8.89E+13,,AIRTEL UP
9823476434,7982345234,2-Jan-2021,16:24:06,16:24:06,0:00:00,410-23-2415-12,-,SMT,4.42E+14,8.89E+13,9.83E+09,AIRTEL UP
8983432344,7982345234,2-Jan-2021,16:56:04,17:00:28,0:04:24,410-23-2415-12,410-23-2415-12,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9823476434,2-Jan-2021,20:09:41,20:16:21,0:06:40,410-23-2415-12,410-23-2415-12,OUT,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9823476434,2-Jan-2021,20:20:36,20:20:36,0:00:00,410-23-2415-12,410-23-2415-12,SMO,4.42E+14,8.89E+13,9.84E+09,AIRTEL UP
7343938444,7982345234,2-Jan-2021,20:54:41,21:12:51,0:18:10,410-23-2415-12,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
8983432344,7982345234,2-Jan-2021,21:14:00,21:16:55,0:02:55,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
