FIR Number,District ID,Police Station ID,Date ,Time,Complainant,Act,Section,Mobile Number of complainant
0278,Agra,10,22-Sep-2020,8:25:03,Tushar Rao,Indian Penal Code,295-A,8777363170
0234,Agra,11,20-Sep-2021,22:01:45,Sree Nibhanupudi,Gambling Act,13,6127984592
4855,Agra,1519,31-Jan-2019,20:50:28,Rupa Joshi,NDPS Act,22,7499495714
7133,Agra,13,05-Aug-2018,19:47:59,Gayatri Sharma,Indian Penal Code,504,7887857183
4690,Agra,25,08-Sep-2019,5:36:50,Sunil Choudhary,Indian Penal Code,146,6511728041
7350,Agra,37,19-Feb-2019,15:43:19,Abhinva Singh,Indian Penal Code,146,8700896768
5129,Agra,41,12-Sep-2017,0:45:14,Vinay Sadalge,Goonda Act,3,6310084902
7976,Agra,1575,11-Feb-2020,9:46:16,Ajitesh Cherupara,Goonda Act,3,7887928656
6126,Agra,40,06-May-2018,2:33:35,Vishnu Jagder,Indian Penal Code,411,6127992280
8992,Agra,1614,16-Jul-2017,14:29:39,Archan Chandrasekaran,Cow Protection,5,7477548616
8310,Agra,42,16-Jun-2017,5:10:19,Devarsi Vijayagopalan,Excise Act,60(2),6127980459
6752,Agra,26,05-Mar-2019,4:53:24,Mukesh Yauvani,SC/ST Act,3,8079980030
1171,Agra,27,26-Jun-2018,4:03:50,Keyur Kalluri,Indian Penal Code,390,8079053485
5828,Agra,28,28-Dec-2018,7:59:13,Pyarelal Kity,Mineral and Mining Act,21,6127977892
2499,Agra,29,19-Aug-2020,7:33:40,Ratannabha Naimesh,Excise Act,60,8207620219
8205,Agra,1524,11-May-2021,5:35:40,Supratik Kolala,Indian Penal Code,420,8079022694
1046,Agra,15,16-Dec-2019,5:55:51,Milan Shivakumar,Gambling Act,13,6579394501
4363,Agra,19,06-Nov-2020,14:07:12,Yashas Chandiramani,Indian Penal Code,153-A,8917419196
8330,Agra,20,12-Apr-2018,0:49:38,Tufan Yegammai,Mineral and Mining Act,4,6127939206
5333,Agra,21,17-Apr-2019,11:40:42,Kausar Sritharan,Cow Protection,11,6128106397
5857,Ambedkar Nagar,83,17-Jul-2019,21:49:22,Kanwal Murthy,Goonda Act,3,6127937684
4158,Ambedkar Nagar,84,16-Jan-2019,6:30:33,Paravasu Deeptendu Udutha,Indian Penal Code,441,8917285257
6959,Agra,33,19-Feb-2021,23:36:35,Narasimha Pankajakshan,Arms Act,25,6127990793
2191,Agra,34,21-Sep-2019,6:33:25,Bhanudas Narayanaswamy,Indian Penal Code,411,6127920748
7918,Agra,22,11-Apr-2021,12:12:55,Shampa Thukral,Indian Penal Code,304-B,6127992763
1842,Agra,23,24-Nov-2020,3:14:35,Shree Shreerang,Indian Penal Code,295-A,6109296141
6978,Agra,24,27-Sep-2021,16:16:59,Upama Suvrata,Immortal Traffic Prevention Act,4,8079679445
5639,Agra,21,11-Sep-2017,1:08:29,Pival Vaishali Paveljit,Indian Penal Code,448,6127995852
